"RMSE...1","Bias...2","SD...3","SE...4","CP...5","RMSE...6","Bias...7","SD...8","SE...9","CP...10","RMSE...11","Bias...12","SD...13","SE...14","CP...15"
6.84180532235576,0.119,6.85219168219447,7.38815803655694,0.973333333333333,6.72649681849037,0.115,6.73674323921292,7.31083991165249,0.96,6.9785016395293,0.355,6.98110377465601,7.33353535853834,0.953333333333333
11.3671442778839,0.327,11.3814220668915,11.0300745096041,0.96,11.0097441107973,0.649,11.0089476467115,11.0497278910301,0.95,11.4705818032577,0.626,11.4726505340703,11.002884117597,0.933333333333333
6.90184664718623,0.466,6.89758820974275,7.32510761723591,0.96,6.88646695805358,0.176,6.89570810857394,7.24184534534757,0.96,7.02401186569526,0.115,7.03481209327767,7.2662057236763,0.95
4.35821713342585,0.076,4.36483440781304,5.22542964706789,0.983333333333333,4.78483232876834,0.345,4.78032304059865,5.18956608540577,0.966666666666667,4.60389456407829,0.369,4.59672438777609,5.19013109925951,0.973333333333333
5.82169594534892,0.127,5.83003826829155,6.07925447113667,0.966666666666667,6.01507420786026,0.481,6.00586402273308,6.06609482302078,0.96,5.66663117362482,0.009,5.67609175189848,6.0896960951658,0.96
9.22482852943278,0.475,9.22797455534772,9.10301007137229,0.96,9.43203556742758,0.788,9.41477416443215,9.15084602594837,0.943333333333333,9.30462556942186,0.312,9.31494658806576,9.10372161834433,0.95
4.24221151446123,0.096,4.24820906765531,5.262606026664,0.98,4.48955592652852,0.321,4.48555074238489,5.20811600277855,0.983333333333333,4.38803658366966,0.144,4.39298816374896,5.22049283893919,0.986666666666667
9.01728946736481,0.308,9.02707954581579,8.91275435007474,0.956666666666667,8.73043544261261,0.066,8.74477169580095,8.88332971842645,0.94,9.1338241229329,0.654,9.12557208854586,8.88392781543186,0.943333333333333
14.1517118142445,0.285,14.1724860723929,13.5479998931666,0.923333333333333,14.4442380709871,0.743,14.4492139559814,13.5415123434962,0.91,14.0108915970394,1.219,13.981051743367,13.5234867790719,0.95
50.6105846676199,3.218,50.5925815953729,14.2251385947123,0.953333333333333,25.0891922341543,0.685,25.121750649205,9.03881872132533,0.966666666666667,19.4956450627971,1.779,19.4467675789063,7.29557538127069,0.953333333333333
