"RMSE...1","Bias...2","SD...3","SE...4","CP...5","RMSE...6","Bias...7","SD...8","SE...9","CP...10","RMSE...11","Bias...12","SD...13","SE...14","CP...15"
4.66351011842412,0.08,4.67061729053743,5.13413739520867,0.956666666666667,5.12815593814248,0.804,5.07325928481409,5.08142004246309,0.94,5.13383029987607,0.237,5.1369108600357,5.10717635391816,0.936666666666667
4.95683976584647,0.178,4.96193408469769,5.54844969658758,0.976666666666667,5.38821879902441,0.58,5.36585092216608,5.49190601954761,0.953333333333333,5.48716549609799,0.079,5.49576841939222,5.5123688447364,0.936666666666667
4.6424035765766,0.128,4.64839343460556,5.14214701781253,0.966666666666667,5.10115372309777,0.97,5.01637578637239,5.09023807413372,0.933333333333333,5.11752389424826,0.397,5.11061545775457,5.11534491545836,0.93
4.66676400595073,0.084,4.67380726807539,5.10542629019707,0.96,5.0653737944811,0.728,5.02115004650675,5.05008096278729,0.943333333333333,5.13519605312844,0.151,5.14156134440884,5.07502469580885,0.933333333333333
4.62975243975449,0.092,4.63656896654928,5.13735710191743,0.953333333333333,5.15925729508985,0.818,5.10246345929431,5.08471391729576,0.936666666666667,5.1602408992371,0.205,5.16479796442922,5.11039497656425,0.946666666666667
5.0228489118322,0.178,5.02807716540927,5.4625078621416,0.97,5.35775512942546,0.724,5.3175304199898,5.41161620561993,0.963333333333333,5.33530426768168,0.149,5.34214434830391,5.42927211474466,0.94
4.72700790108051,0.368,4.72050045871375,5.29401073590924,0.966666666666667,5.15154414909798,0.409,5.14390040550272,5.24195088587552,0.953333333333333,5.41909681988751,0.067,5.42774005081858,5.26999148267537,0.933333333333333
4.8294485371014,0.42,4.81922349665891,5.14676320339545,0.95,5.07161625277565,0.35,5.06797233913985,5.10163590378992,0.946666666666667,5.16911954267001,0.249,5.17175889489688,5.12634064936382,0.936666666666667
6.2790713737845,0.471,6.27181332872115,7.02022369292833,0.966666666666667,6.79745466649072,0.355,6.7995162255854,6.96228899338617,0.95,6.91706025659872,0.594,6.90299128322154,6.92273143196776,0.953333333333333
5.08697536845669,0.343,5.08385901141992,5.48912065138811,0.973333333333333,5.31150377238541,0.566,5.29011529976825,5.42172392489285,0.95,5.67367350062879,0.178,5.68035886492548,5.45688194602803,0.933333333333333
5.58355503167545,0.327,5.5832906634565,5.83900297979976,0.96,5.78789641997898,0.307,5.7894158045365,5.78703089974459,0.963333333333333,5.98710314750925,0.154,5.9951317713703,5.80955348171041,0.926666666666667
3.39703606915446,0.004,3.40270967695041,3.56183915151719,0.97,3.59257155440799,0.192,3.59340476083923,3.56033552391357,0.94,3.58028618914025,0.279,3.57540110484203,3.55259291365201,0.953333333333333
3.44406014588011,0.048,3.4494813223708,3.67738937661575,0.973333333333333,3.75267750265543,0.106,3.75743753683461,3.68865894594367,0.933333333333333,3.74204348527477,0.188,3.74357156987344,3.6826523068379,0.946666666666667
3.40034671110873,0.153,3.40257394720951,3.54919910765509,0.963333333333333,3.59914362392095,0.351,3.58794459249849,3.54859343832332,0.933333333333333,3.58543895681003,0.423,3.56640649627408,3.54041515368521,0.943333333333333
3.38451680917649,0.001,3.39017160758307,3.5448021876331,0.963333333333333,3.60463092985055,0.184,3.60596998630213,3.54355551995882,0.936666666666667,3.58854104656999,0.267,3.58459099643955,3.53614653359161,0.953333333333333
3.41701163484802,0.002,3.42272058881784,3.56067608291114,0.96,3.59195691943015,0.179,3.59348404302975,3.55857296645935,0.943333333333333,3.60081112928555,0.297,3.59456403468969,3.5510485092174,0.946666666666667
3.39887003076664,0.088,3.40339538837884,3.65272010968339,0.97,3.70856880140293,0.117,3.71292212346535,3.66036407601053,0.933333333333333,3.71392300935663,0.254,3.71141540861579,3.6533417106125,0.95
3.43575073869001,0.226,3.43403059785708,3.70603516718944,0.98,3.70851718452252,0.096,3.71347188303843,3.70884576119416,0.94,3.68715356152319,0.01,3.69330013998686,3.70062662248258,0.956666666666667
3.3999076007161,0.232,3.3976237198576,3.57297734544163,0.97,3.64192629935417,0.088,3.64695728695249,3.57019459540056,0.933333333333333,3.58913437990504,0.048,3.59480526145916,3.56095369619245,0.946666666666667
3.83255231862768,0.283,3.82844261299342,4.01583280097165,0.963333333333333,4.06816018556575,0.128,4.07294186315244,4.03816089924982,0.943333333333333,4.15036533766698,0.054,4.15695094874389,4.03725714053065,0.956666666666667
3.45459889131538,0.23,3.45267617235918,3.74554924310652,0.976666666666667,3.75760583022192,0.147,3.76100493241562,3.74743752264651,0.936666666666667,3.72894100618809,0.048,3.73486237948821,3.73393624592693,0.956666666666667
3.89598224728037,0.3,3.89094224446191,4.11455540673514,0.98,4.28386282991574,0.153,4.28828257977738,4.11328638286683,0.93,4.10515755116376,0.009,4.1120059043956,4.10301569699841,0.936666666666667
2.5941676104755,0.37,2.5718797240184,2.48915298870101,0.933333333333333,2.63112609842398,0.353,2.61167001136323,2.48484722243714,0.94,2.44285720412669,0.197,2.4389557251045,2.5008959640241,0.953333333333333
2.58436953956761,0.367,2.5624533961009,2.51168849194914,0.933333333333333,2.67679663537539,0.359,2.65709942790576,2.50485796096205,0.933333333333333,2.49168577605609,0.214,2.486617014203,2.52280897460131,0.953333333333333
2.58241203529571,0.46,2.54535179692709,2.47431460231557,0.93,2.65774590596214,0.452,2.62337649732333,2.46969297708762,0.933333333333333,2.42367402688848,0.117,2.42491547802691,2.48602429118948,0.956666666666667
2.59676276423115,0.372,2.57434248456229,2.48109920382353,0.92,2.62948780012465,0.346,2.61100872746967,2.47690144913102,0.94,2.44427824983046,0.225,2.43799799774732,2.49291538276799,0.95
2.59304741257699,0.394,2.56721438029169,2.48840109921223,0.933333333333333,2.6402027557502,0.373,2.6181006205153,2.48385251289432,0.94,2.43120555638726,0.172,2.42918527712436,2.49962897397795,0.953333333333333
2.59695875598429,0.37,2.57482696913622,2.50765052486063,0.933333333333333,2.67912773750984,0.369,2.65796494437848,2.50078664395952,0.93,2.50263109071258,0.22,2.49710289331066,2.51925663528967,0.956666666666667
2.65248928565068,0.294,2.64053578414501,2.60634151784813,0.92,2.7092654667705,0.142,2.7100382691694,2.60481264083061,0.946666666666667,2.63733378197603,0.352,2.6180528376846,2.61964412838269,0.953333333333333
2.58431486804114,0.261,2.57535859744977,2.49257222287203,0.94,2.61420168453679,0.194,2.61135677379584,2.48832581448049,0.936666666666667,2.50037915576111,0.327,2.48307756681017,2.50371322944865,0.95
2.58421042369422,0.292,2.57196412862134,2.56103891449991,0.94,2.65652387995474,0.209,2.65272916308274,2.55584129021303,0.946666666666667,2.59844721249972,0.347,2.57949010978542,2.57132148580674,0.956666666666667
2.64043544454739,0.319,2.62552567054431,2.61257122621297,0.93,2.72264551244639,0.085,2.72586892551103,2.61254317786892,0.943333333333333,2.64122176405438,0.375,2.61888121097683,2.62613698012583,0.96
2.8754152688108,0.333,2.86082289496625,2.89779192341702,0.936666666666667,3.06323053976682,0.103,3.066626496115,2.89752417229642,0.94,2.9608928143653,0.36,2.94377962376515,2.91102102401845,0.95
