File_Name,takeup
6782_20110211,0
6783_20110211,0
6784_20110211,0
6807_20110208,0
6809_20110208,0
6810_20110208,0
6818_20110210,0
6822_20110208,0
6828_20110208,0
6830_20110209,0
6842_20110209,0
6845_20110215,0
6846_20110215,0
6847_20110215,0
6855_20110209,0
6857_20110209,0
6860_20110209,0
6884_20110210,0
6889_20110301,0
688_20101206,1
6891_20110301,0
6898_20110222,1
6909_20110217,0
6911_20110217,0
6912_20110217,0
6914_20110217,1
6923_20110217,0
6925_20110301,0
6926_20110301,0
6931_20110215,1
6947_20110216,0
6955_20110216,0
6973_20110211,0
6985_20110211,0
7000_20110211,0
7001_20110211,1
7002_20110211,0
7017_20110211,0
7035_20110223,1
7036_20110211,0
7037_20110211,0
7044_20110215,0
7054_20110216,0
7058_20110222,0
7059_20110222,0
7060_20110223,0
7065_20110210,0
7066_20110210,0
7067_20110210,0
7070_20110310,0
7088_20110222,1
7091_20110210,0
7092_20110302,0
7095_20110215,0
7097_20110210,0
7098_20110210,0
7109_20110210,0
710_20101206,1
7121_20110209,0
7124_20110302,0
7134_20110301,0
7152_20110301,0
7157_20110209,0
7159_20110303,1
7166_20110222,0
7167_20110222,0
7180_20110308,0
7185_20110302,0
7186_20110302,1
71_20101203,0
721_20101206,1
722_20101213,0
7236_20110217,0
7240_20110218,0
7245_20110217,0
7250_20110217,0
7251_20110217,0
7255_20110215,1
7256_20110215,0
7257_20110215,0
7258_20110215,0
7259_20110215,0
7266_20110215,0
7271_20110214,1
7273_20110214,0
7282_20110214,0
7283_20110214,0
7296_20110214,0
7303_20110217,0
7314_20110217,0
7315_20110215,0
7316_20110215,0
7320_20110214,0
7323_20110214,0
7325_20110214,0
7328_20110214,0
7343_20110210,0
7359_20110210,0
7372_20110210,0
7384_20110210,1
7385_20110210,1
7389_20110210,0
7394_20110215,0
7399_20110215,0
73_20101203,0
7401_20110214,1
7405_20110216,0
7406_20110216,0
7411_20110211,0
7422_20110216,1
7427_20110215,0
7432_20110215,0
7435_20110210,0
743_20101214,1
7441_20110210,0
7476_20110217,1
7478_20110117,0
7484_20110214,0
7485_20110214,0
7490_20110214,1
7492_20110217,0
7494_20110214,0
749_20101213,1
7508_20110215,0
7509_20110215,0
750_20101209,1
7510_20110215,0
7515_20110217,0
7520_20110216,1
7528_20110217,0
7551_20110217,1
7552_20110225,0
7554_20110216,0
756_20101215,0
7577_20110224,0
7590_20110223,0
7609_20110217,1
760_20101214,0
7613_20110216,0
7623_20110211,0
7624_20110211,0
7628_20110211,0
7630_20110217,0
763_20101213,1
7641_20110211,0
766_20101215,1
7671_20110302,1
767_20101215,1
7683_20110224,0
7684_20110224,0
7688_20110224,0
7692_20110224,1
7706_20110303,0
7720_20110224,0
7730_20110309,0
7745_20110216,0
7747_20110216,0
774_20101216,0
7753_20110217,0
7776_20110216,1
7777_20110216,0
7782_20110216,0
7790_20110217,0
7808_20110211,0
7817_20110221,0
7818_20110221,0
7819_20110221,0
7825_20110221,1
7832_20110221,0
7835_20110221,0
7838_20110221,0
784_20101213,0
7868_20110223,0
7891_20110301,0
7902_20110222,0
7907_20110303,0
7910_20110308,0
7911_20110308,0
7922_20110222,0
7926_20110222,0
7927_20110222,0
7931_20110310,0
7933_20110310,0
7946_20110224,0
7947_20110224,0
7958_20110309,0
7987_20110222,0
7988_20110222,0
7995_20110303,0
8011_20110215,0
8016_20110215,0
8026_20110222,0
8027_20110215,0
8028_20110215,0
802_20101213,0
8031_20110215,0
8032_20110215,1
8038_20110303,1
8044_20110215,0
8052_20110215,0
8060_20110309,0
8061_20110309,0
8068_20110308,0
8069_20110308,0
8076_20110215,0
8081_20110215,0
8110_20110302,0
8116_20110223,0
8119_20110223,1
8120_20110215,0
8125_20110215,0
813_20101209,1
8141_20110308,0
8145_20110222,0
814_20101213,1
8151_20110215,0
8152_20110215,0
8153_20110215,0
8157_20110215,0
8163_20110215,0
8167_20110215,0
8171_20110217,0
8176_20110217,0
8184_20110222,0
8198_20110223,0
8204_20110222,0
8214_20110309,0
8224_20110302,1
8226_20110215,0
8228_20110215,0
8237_20110215,0
8239_20110215,0
8242_20110215,0
8243_20110302,0
8246_20110215,0
8253_20110309,0
8255_20110216,0
8258_20110216,0
8271_20110216,0
8272_20110216,0
8275_20110216,0
8285_20110223,1
8302_20110217,0
8311_20110303,0
8314_20110223,0
8321_20110302,0
8350_20110222,0
8354_20110222,0
8364_20110309,0
8373_20110303,0
8378_20110222,0
8392_20110224,0
841_20101209,0
8440_20110222,0
8445_20110302,0
8453_20110302,0
8492_20110303,0
8494_20110303,0
8520_20110302,0
8537_20110310,0
8542_20110308,0
8545_20110310,0
8548_20110303,0
8558_20110224,0
8559_20110301,0
8563_20110302,0
8564_20110302,0
8655_20110302,0
8661_20110310,1
8663_20110310,0
8712_20110215,0
8714_20110215,0
873_20101213,1
8744_20110310,0
8751_20110224,0
8754_20110224,0
8774_20110309,0
8792_20110216,0
8793_20110216,0
8794_20110216,0
8802_20110216,0
8803_20110216,1
8817_20110223,0
8819_20110223,0
8820_20110301,0
8835_20110310,0
8842_20110217,0
8854_20110302,0
8886_20110216,0
8887_20110216,0
8901_20110223,0
8905_20110224,1
8908_20110217,0
8910_20110217,0
8913_20110216,0
8917_20110308,0
8919_20110309,0
8925_20110222,0
8926_20110222,0
8927_20110222,0
8929_20110222,0
8931_20110302,0
8933_20110217,0
8940_20110216,0
8947_20110203,0
8948_20110216,0
8949_20110217,0
8950_20110216,0
8962_20110224,1
8970_20110216,0
8974_20110216,0
8979_20110216,0
8990_20110302,0
9008_20110216,0
9010_20110216,0
9044_20110217,1
9047_20110217,1
9050_20110217,0
9057_20110218,0
9060_20110218,0
9066_20110218,0
9068_20110218,0
9071_20110218,0
9074_20110301,0
907_20110114,1
9084_20110218,0
9124_20110222,0
9144_20110221,0
9145_20110221,1
9147_20110221,0
9178_20110218,0
9189_20110221,0
9191_20110221,0
9234_20110301,0
9251_20110301,0
9299_20110225,0
9323_20110224,0
9330_20110224,0
9356_20110224,1
9359_20110224,0
9376_20110303,0
9377_20110303,0
9386_20110222,0
9407_20110225,0
9410_20110225,1
9411_20110221,0
9416_20110123,0
9418_20110223,1
9421_20110221,1
9422_20110221,0
9433_20110301,0
9448_20110222,1
9449_20110222,0
9452_20110222,0
9478_20110224,0
9486_20110224,0
9488_20110224,0
9510_20110224,0
9513_20110225,0
9529_20110223,0
9532_20110223,0
9534_20110223,0
9543_20110225,1
9545_20110225,0
9548_20110223,0
9549_20110223,0
9570_20110224,1
9587_20110223,0
95_20101213,1
9603_20110221,0
9609_20110221,0
9614_20110221,0
9617_20110221,0
9626_20110221,0
9638_20110223,0
9655_20110223,1
9677_20110222,0
9680_20110222,1
9682_20110223,0
9683_20110223,0
9688_20110301,0
9689_20110223,0
9690_20110223,0
9717_20110223,0
9799_20110307,1
9801_20110308,0
9811_20110307,0
9817_20110303,0
9833_20110303,0
9868_20110302,0
9871_20110308,0
9877_20110303,0
9878_20110303,0
9891_20110302,1
9910_20110302,0
9914_20110302,0
993_20101216,1
9943_20110302,0
9949_20110303,1
9956_20110302,0
9957_20110302,0
9962_20110303,0
9965_20110303,0
9970_20110302,0
9989_20110302,0
9990_20110303,0
9991_20110302,0
9994_20110303,0
9997_20110303,0
